filename,primaryFile,deltaX,deltaY,rotate,scale
./images/Pleadies-0002.jpg,./images/Pleadies-0001.jpg,-26,-63,-0.000173,0.999862
./images/Pleadies-0003.jpg,./images/Pleadies-0001.jpg,-45,-89,-0.000396,0.999918
./images/Pleadies-0004.jpg,./images/Pleadies-0001.jpg,-48,-93,-0.000344,1.000043
./images/Pleadies-0005.jpg,./images/Pleadies-0001.jpg,-51,-95,-0.000469,1.000084
./images/Pleadies-0006.jpg,./images/Pleadies-0001.jpg,-54,-96,-0.000489,1.000134
./images/Pleadies-0007.jpg,./images/Pleadies-0001.jpg,-57,-95,-0.000427,0.999997
./images/Pleadies-0008.jpg,./images/Pleadies-0001.jpg,-59,-98,-0.000441,1.000067
./images/Pleadies-0009.jpg,./images/Pleadies-0001.jpg,-62,-100,-0.000517,0.999892
./images/Pleadies-0010.jpg,./images/Pleadies-0001.jpg,-64,-102,-0.000479,0.999993
./images/Pleadies-0011.jpg,./images/Pleadies-0001.jpg,-66,-107,-0.000649,1.000079
./images/Pleadies-0012.jpg,./images/Pleadies-0001.jpg,-69,-111,-0.000482,1.000147
./images/Pleadies-0013.jpg,./images/Pleadies-0001.jpg,-71,-115,-0.000603,1.000204
./images/Pleadies-0014.jpg,./images/Pleadies-0001.jpg,-73,-116,-0.000575,1.000051
./images/Pleadies-0015.jpg,./images/Pleadies-0001.jpg,-75,-119,-0.000658,1.000096
./images/Pleadies-0016.jpg,./images/Pleadies-0001.jpg,-79,-120,-0.000656,1.000137
./images/Pleadies-0017.jpg,./images/Pleadies-0001.jpg,-82,-122,-0.000651,1.000208
./images/Pleadies-0018.jpg,./images/Pleadies-0001.jpg,-84,-124,-0.000669,1.000122
./images/Pleadies-0019.jpg,./images/Pleadies-0001.jpg,-88,-126,-0.000726,1.000299
./images/Pleadies-0020.jpg,./images/Pleadies-0001.jpg,-90,-130,-0.000675,1.000178
./images/Pleadies-0021.jpg,./images/Pleadies-0001.jpg,-93,-132,-0.000737,1.000165
./images/Pleadies-0022.jpg,./images/Pleadies-0001.jpg,-94,-136,-0.000805,1.000222
./images/Pleadies-0023.jpg,./images/Pleadies-0001.jpg,-97,-138,-0.000759,1.000191
./images/Pleadies-0024.jpg,./images/Pleadies-0001.jpg,-99,-142,-0.000936,1.000232
./images/Pleadies-0025.jpg,./images/Pleadies-0001.jpg,-103,-144,-0.000891,1.000315
./images/Pleadies-0026.jpg,./images/Pleadies-0001.jpg,-105,-145,-0.000892,1.000259
./images/Pleadies-0027.jpg,./images/Pleadies-0001.jpg,-109,-145,-0.001006,1.000193
./images/Pleadies-0028.jpg,./images/Pleadies-0001.jpg,-112,-146,-0.000983,1.000216
./images/Pleadies-0029.jpg,./images/Pleadies-0001.jpg,-115,-146,-0.001054,1.000140
./images/Pleadies-0030.jpg,./images/Pleadies-0001.jpg,-118,-147,-0.000934,1.000287
./images/Pleadies-0031.jpg,./images/Pleadies-0001.jpg,-121,-148,-0.001072,1.000153
./images/Pleadies-0033.jpg,./images/Pleadies-0001.jpg,-126,-153,-0.001107,1.000086
./images/Pleadies-0034.jpg,./images/Pleadies-0001.jpg,-129,-157,-0.001051,1.000211
./images/Pleadies-0035.jpg,./images/Pleadies-0001.jpg,-131,-159,-0.001018,1.000137
./images/Pleadies-0036.jpg,./images/Pleadies-0001.jpg,-134,-163,-0.001144,1.000224
./images/Pleadies-0037.jpg,./images/Pleadies-0001.jpg,-136,-166,-0.001158,1.000267
./images/Pleadies-0038.jpg,./images/Pleadies-0001.jpg,-138,-170,-0.001180,1.000338
./images/Pleadies-0039.jpg,./images/Pleadies-0001.jpg,-140,-174,-0.001229,1.000151
./images/Pleadies-0040.jpg,./images/Pleadies-0001.jpg,-142,-178,-0.001169,0.999919
./images/Pleadies-0041.jpg,./images/Pleadies-0001.jpg,-144,-183,-0.001310,1.000106
./images/Pleadies-0042.jpg,./images/Pleadies-0001.jpg,-145,-190,-0.001078,1.000153
./images/Pleadies-0043.jpg,./images/Pleadies-0001.jpg,-146,-196,-0.000856,0.999780
./images/Pleadies-0044.jpg,./images/Pleadies-0001.jpg,-148,-203,-0.001152,1.000288
./images/Pleadies-0045.jpg,./images/Pleadies-0001.jpg,-151,-206,-0.001133,0.999986
./images/Pleadies-0046.jpg,./images/Pleadies-0001.jpg,-153,-211,-0.000679,0.999926
./images/Pleadies-0047.jpg,./images/Pleadies-0001.jpg,-155,-214,-0.001361,1.000059
./images/Pleadies-0048.jpg,./images/Pleadies-0001.jpg,-158,-217,-0.001328,1.000040
./images/Pleadies-0049.jpg,./images/Pleadies-0001.jpg,-159,-222,-0.001417,1.000176
./images/Pleadies-0050.jpg,./images/Pleadies-0001.jpg,-161,-226,-0.001387,1.000083
./images/Pleadies-0051.jpg,./images/Pleadies-0001.jpg,-164,-230,-0.001501,1.000236
./images/Pleadies-0052.jpg,./images/Pleadies-0001.jpg,-166,-234,-0.001523,1.000423
